test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,data_transfer_bytes_per_sec,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb,fail_data_transfer_bytes_per_sec
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:04,global information,2022,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.5,1.1,3.81,26.24,3.61,4.34,5.73,8.14,1.84,0.380,0.380,0.380,0.750,196639.5
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:04,products_list,2022,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.5,1.1,3.81,26.24,3.61,4.34,5.73,8.14,1.84,0.380,0.380,0.380,0.750,196639.5
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_details,00:00:04,global information,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.2,3.71,9.46,3.74,4.86,6.34,9.46,1.75,0.397,0.397,0.397,0.019,5087.5
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_details,00:00:04,product_details,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.2,3.71,9.46,3.74,4.86,6.34,9.46,1.75,0.397,0.397,0.397,0.019,5087.5
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_search,00:00:04,global information,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.19,3.62,9.45,3.33,5.06,6.43,9.46,1.83,0.392,0.392,0.394,0.019,5024.75
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_search,00:00:04,products_search,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,1.19,3.62,9.45,3.33,5.06,6.43,9.46,1.83,0.392,0.392,0.394,0.019,5024.75
nbomber_default_test_suite_name,nbomber_default_test_name,authenticated_catalog,00:00:04,global information,860,47,813,11.75,3.68,6.69,20.28,5.64,6.83,12.43,20.29,3.01,1.506,1.506,1.506,0.069,18118.5,203.25,1.48,3.78,27.71,3.54,4.36,6.05,7.82,1.67,0.803,0.803,0.803,0.637,167071.5
nbomber_default_test_suite_name,nbomber_default_test_name,authenticated_catalog,00:00:04,authenticated_products,860,47,813,11.75,3.68,6.69,20.28,5.64,6.83,12.43,20.29,3.01,1.506,1.506,1.506,0.069,18118.5,203.25,1.48,3.78,27.71,3.54,4.36,6.05,7.82,1.67,0.803,0.803,0.803,0.637,167071.5
nbomber_default_test_suite_name,nbomber_default_test_name,auth,00:00:04,global information,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.31,6.69,17.94,4.04,6.26,17.95,17.95,5.84,0.482,0.482,0.482,0.002,617.5
nbomber_default_test_suite_name,nbomber_default_test_name,auth,00:00:04,auth_login,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.31,6.69,17.94,4.04,6.26,17.95,17.95,5.84,0.482,0.482,0.482,0.002,617.5
nbomber_default_test_suite_name,nbomber_default_test_name,health,00:00:04,global information,5413,0,5413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353.25,0.71,3.2,26.48,3,3.87,5.52,7.86,1.65,0.353,0.353,0.353,1.864,488523.25
nbomber_default_test_suite_name,nbomber_default_test_name,health,00:00:04,health,5413,0,5413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353.25,0.71,3.2,26.48,3,3.87,5.52,7.86,1.65,0.353,0.353,0.353,1.864,488523.25
